date,popularity,day,show,platform,show_name
2018-09-12,3,12,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-13,3,13,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-14,3,14,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-15,4,15,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-16,4,16,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-17,3,17,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-18,2,18,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-19,2,19,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-20,2,20,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-21,2,21,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-22,3,22,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-23,3,23,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-24,2,24,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-25,2,25,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-26,1,26,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-27,1,27,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-28,1,28,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-29,1,29,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-09-30,2,30,Tom Clancy's Jack Ryan,amazon prime,ryan
2018-10-01,1,31,Tom Clancy's Jack Ryan,amazon prime,ryan
2020-11-26,1,1,The Flight Attendant,hbo max,flight
2020-11-27,3,2,The Flight Attendant,hbo max,flight
2020-11-28,3,3,The Flight Attendant,hbo max,flight
2020-11-29,2,4,The Flight Attendant,hbo max,flight
2020-11-30,2,5,The Flight Attendant,hbo max,flight
2020-12-01,1,6,The Flight Attendant,hbo max,flight
2020-12-02,1,7,The Flight Attendant,hbo max,flight
2020-12-03,2,8,The Flight Attendant,hbo max,flight
2020-12-04,2,9,The Flight Attendant,hbo max,flight
2020-12-05,2,10,The Flight Attendant,hbo max,flight
2020-12-06,2,11,The Flight Attendant,hbo max,flight
2020-12-07,1,12,The Flight Attendant,hbo max,flight
2020-12-08,1,13,The Flight Attendant,hbo max,flight
2020-12-09,1,14,The Flight Attendant,hbo max,flight
2020-12-10,2,15,The Flight Attendant,hbo max,flight
2020-12-11,2,16,The Flight Attendant,hbo max,flight
2020-12-12,2,17,The Flight Attendant,hbo max,flight
2020-12-13,2,18,The Flight Attendant,hbo max,flight
2020-12-14,2,19,The Flight Attendant,hbo max,flight
2020-12-15,1,20,The Flight Attendant,hbo max,flight
2020-12-16,1,21,The Flight Attendant,hbo max,flight
2020-12-17,2,22,The Flight Attendant,hbo max,flight
2020-12-18,3,23,The Flight Attendant,hbo max,flight
2020-12-19,3,24,The Flight Attendant,hbo max,flight
2020-12-20,2,25,The Flight Attendant,hbo max,flight
2020-12-21,2,26,The Flight Attendant,hbo max,flight
2020-12-22,1,27,The Flight Attendant,hbo max,flight
2020-12-23,1,28,The Flight Attendant,hbo max,flight
2020-12-24,1,29,The Flight Attendant,hbo max,flight
2020-12-25,1,30,The Flight Attendant,hbo max,flight
2020-12-26,1,31,The Flight Attendant,hbo max,flight
