,title,year,movie,tv,Netflix,Disney+,Hulu,Prime Video,genre_action_adventure,genre_animation,genre_biography,genre_children,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_fantasy,genre_horror,genre_mystery,genre_romance,genre_science_fiction,genre_thriller,genre_musical,genre_reality,genre_other,HBO,rating,IMDb,Rotten Tomatoes
37,(Sub) Sword Art Online: The Movie - Ordinal Scale,2017,1,0,0.0,0.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
38,(Sub) Trigun: Badlands Rumble,2010,1,0,0.0,0.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
39,(T)ERROR,2015,1,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,
40,(Un)Well,2020,0,1,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,R/TV-MA,6.4,50.0
41,...And God Created Woman,1956,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0,PG/TV-PG,6.3,75.0
42,.hack//Roots,2006,0,1,0.0,0.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
43,.hack//SIGN,2002,0,1,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,,
44,1 Chance 2 Dance,2014,1,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,,,
45,1 Mile to You,2017,1,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,,,
46,1 Night in San Diego,2020,1,0,0.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
47,1/2 New Year,2019,1,0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,5.0,34.0
48,10 Cent Pistol,2015,1,0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,,,
49,10 Day Yoga for Weight Loss Challenge with Chelsey,2021,0,1,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
50,10 Days in Sun City,2017,1,0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,,,
51,10 Endrathukulla,2015,1,0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,,,
